st_racuna,znesek
3585804311920492,87126.19
30316753034911,39143.8
4017953477375698,52897.51
3569792682507941,21530.2
201837235825108,96859.91
3581111893790960,34578.36
5602210811581743394,64794.54
5151992763991761,60116.59
4175001953850608,27999.51
3585536570502948,78912.13
3553758270276700,28097.53
4017953972338,47542.67
3563267732093172,28668.27
201457469687684,63675.44
560221097326376433,71063.2
370023914030345,92446.29
3554421448896342,26458.32
3544993688602419,35513.86
67619661380892662,5817.82
3528375764246990,33071.78
3542062381884526,83696.49
3576970306524168,62149.42
374622654807212,93214.24
56107467515214026,76940.33
378576749571314,79674.68
201467939085930,43406.81
4913952504636432,92642.17
3540917621679238,20781.6
675909261649601803,59259.92
4917196603339995,840.55
6398099072075228,96319.4
561088104038718488,1490.97
3546053800777397,54202.43
6304693176188383,48780.3
6706908472908720,8354.5
3580402318062452,58942.29
3570547450533256,13581.42
3541148740890345,87503.08
30140380999480,22045.13
3550104255747824,96007.07
3554861155167058,80215.67
30176959501513,19278.34
5409794384208116,98373.9
3569293332986148,43262.47
560223019076136666,71600.92
5610868090418149558,78358.86
3570066854969792,66446.43
201507675225982,45491.81
4873188689130424,29020.14
6304476525901972456,18838.25
3548609576652888,12583.18
3586500834137569,56006.5
376942451721137,98077.42
4917983691281795,59884.23
5610761592320715,2802.95
4041598476937889,75483.51
5610640036088536,51247.5
6709345551911787,8846.19
3585295352543691,29079.33
374622556078169,98966.09
6372420168365614,66342.79
3536536117217455,11361.81
630489270737591878,13821.59
50188651691654056,85292.64
4905727076349485,87519.83
5020207819860217410,9701.02
3550366707548346,21471.38
6382066379328442,20509.85
3540529140045096,68759.05
3559199123128992,71226.97
3550888531325658,45329.12
56022225289372079,25547.03
3532028901616658,47655.69
3554935624360849,59716.77
4917063218605253,62078.18
493692683866827440,5316.21
3552191681555077,148.72
3545675237730374,78767.34
36642904686380,31308.89
6331102476449893512,3623.3
5038211897735970989,75226.31
3576570158916916,41330.04
3529981411153064,20171.2
3570077880319126,74850.95
4913670977070786,46891.04
5100141749925186,74048.96
6380101707827864,12732.69
3564844164952833,59531.91
3565883732249347,35215.63
3585212817030644,75258.18
502033621426633912,10701.13
3584363365987254,91717.32
5486121352400598,86110.35
3528471791471394,87473.38
4404169149028869,67962.74
348022436263599,72298.97
6334408868597815,87418.2
3560039364302970,79016.77
201447021294426,18764.08
4041591170915,51441.6
4911366931681069405,73509.95
3576906782686329,53203.36
3545075830707848,95932.85
30428942426849,47018.25
3581943149468656,16969.71
5641821748460668681,2806.27
201611856624797,90902.43
3576732770192959,12706.35
3583552687366517,71133.0
5602258366505229882,39392.87
5610048376540993,11868.66
3564701061019001,97294.45
3544915198772218,97830.96
5108755152285085,97104.93
3538728544646202,73446.46
3550725958889172,96832.61
4437483010948019,92819.39
3559156902538585,76283.99
4026643551659609,83297.09
3555565832222207,63504.99
6331101024067434,21510.89
5602229639859397596,6541.67
5476442141733483,61712.86
36781291996711,95524.44
6759540041347539195,56123.07
4378920586899143,62534.78
5561305023910931,5643.96
372301259427922,88050.92
4913098862875855,64180.96
30142135783854,37303.76
3586418988532198,21838.0
3571521918875442,85944.23
3559471876326606,75229.89
560222207741536300,51430.44
3536643256942420,22709.79
3534546518666780,27781.2
677140417337216826,6616.39
343343492227426,39317.1
491192464038051923,20899.12
3534638043303805,57846.0
3589777133569935,68494.92
5508458342316953,30051.87
4026488080978413,64370.24
6378250717353405,28059.9
3568861291481730,60659.33
337941923199763,23344.49
372301667580007,79368.92
63049784463985127,47021.02
4844670575388311,9576.51
675998395819967214,4878.84
5602213993930361,95843.25
6331104164675768,50381.59
3539934577886983,34237.83
3579690381661704,63139.02
3581356723660251,25282.97
30297027235957,90366.43
676753989460455561,54190.49
6771974892059270,94619.49
5893763491030849,24327.97
370363272035134,6626.71
201565948371462,47633.9
